Bureau,Total Accounts,Open Accounts,Close Accounts,Delinquent Accounts,Derogatory Accounts,Total Balances,Total Monthly Payments,Late 30 Count,Late 60 Count,Late 90 Count,No of Revolving Acc,No of Installment,No of Mortgage,No of Open Acc,No of Unknown Acc,No of Collection Acc,No of line of credit Acc,No of Inq,No of Public Record,Age of Oldest Account,Open Student loans,Credit Limit,Credit Score
Experian,36,29,7,0,0,44647,1197,0,0,0,20,15,1,0,0,0,0,4,0,10,0,83726,736
TransUnion,12,2,10,1,7,2102,32,10,3,2,6,2,0,3,0,1,0,0,0,40,0,800,480
Equifax,25,15,10,0,0,1471,377,0,0,0,17,6,2,0,0,0,0,3,0,40,0,39136,811
Experian,15,11,4,0,0,0,0,0,0,0,14,0,0,0,1,0,0,3,0,40,0,70551,822
TransUnion,12,9,3,0,0,46202,925,1,0,0,9,1,1,1,0,0,0,1,0,25,0,34900,694
Equifax,9,3,6,1,4,12335,418,5,2,3,2,4,0,0,0,3,0,45,0,25,0,840,555
Experian,32,7,25,3,23,38072,786,15,16,32,22,2,0,1,0,7,0,13,0,25,0,17350,483
TransUnion,5,3,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,8,0,11200,638
Equifax,3,1,2,0,1,766,100,2,0,0,2,0,0,0,0,1,0,21,0,6,0,0,457
Experian,7,5,2,4,0,16801,1803,4,4,12,6,1,0,0,0,0,0,6,1,8,0,12800,532
TransUnion,29,22,7,0,0,38166,1439,0,0,0,14,9,1,2,0,0,3,0,0,33,0,82100,832
Equifax,12,11,1,0,0,23362,664,1,2,0,6,1,0,2,1,0,2,38,0,26,0,15822,579
Experian,22,12,10,0,0,26418,2063,0,0,0,13,5,0,0,4,0,0,0,0,33,0,39725,677
TransUnion,4,2,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,27,0,3100,724
Equifax,15,13,2,0,0,102103,1304,1,0,0,11,1,2,0,1,0,0,1,0,27,0,55983,786
Experian,10,9,1,0,0,35,25,0,0,0,10,0,0,0,0,0,0,0,0,27,0,20800,826
TransUnion,1,1,0,0,0,66,0,0,0,0,0,0,0,1,0,0,0,1,0,14,0,0,669
Equifax,12,6,6,1,5,9617,344,3,2,1,4,2,0,1,5,0,0,3,1,14,0,113,614
Experian,30,17,13,0,0,251056,2731,0,0,0,15,8,4,0,0,0,3,8,0,14,0,74000,728
TransUnion,20,15,5,0,0,46673,1788,0,1,0,14,4,2,0,0,0,0,2,0,46,0,68400,795
Equifax,59,22,37,0,1,571869,5272,14,2,2,17,34,2,3,2,0,1,21,0,46,6,20100,654
Experian,11,9,2,0,0,199,64,0,0,0,6,4,1,0,0,0,0,0,0,46,0,23400,831
TransUnion,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,0,9200,687
Equifax,23,7,16,4,0,211360,3913,65,20,25,15,5,1,2,0,0,0,8,2,20,0,22500,531
