Bureau,Total Accounts,Open Accounts,Close Accounts,Delinquent Accounts,Derogatory Accounts,Total Balances,Total Monthly Payments,Late 30 Count,Late 60 Count,Late 90 Count,No of Revolving Acc,No of Installment,No of Mortgage,No of Open Acc,No of Unknown Acc,No of Collection Acc,No of line of credit Acc,No of Inq,No of Public Record,Age of Oldest Account,Open Student loans,Credit Limit,Credit Score
Equifax,29,18,11,0,0,26435,1045,4,3,6,23,5,1,0,0,0,0,17,0,13,0,5763,726
Experian,7,6,1,1,0,167401,1956,12,2,0,2,2,3,0,0,0,0,0,0,13,0,3000,612
TransUnion,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,683
Equifax,15,13,2,0,0,88796,855,1,1,4,9,2,2,1,0,0,1,20,0,13,0,20798,714
Experian,28,12,16,0,0,134229,1435,0,0,0,20,2,4,0,0,0,2,1,0,13,0,82655,803
TransUnion,4,2,2,0,2,7373,297,1,0,0,2,1,0,0,0,1,0,0,0,26,0,100,540
Equifax,36,27,9,0,0,191317,3477,0,0,0,21,4,7,0,2,0,2,2,0,29,0,35038,812
Experian,21,14,7,0,0,76103,2099,0,0,0,17,0,4,0,0,0,0,1,0,29,0,94000,813
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34,0,500,672
Equifax,13,8,5,0,0,14582,909,0,0,0,4,8,1,0,0,0,0,22,0,34,0,7760,776
Experian,12,9,3,0,0,431,18,0,0,0,10,2,0,0,0,0,0,0,0,34,0,30700,812
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34,0,500,672
Equifax,13,8,5,0,0,14582,909,0,0,0,4,8,1,0,0,0,0,22,0,34,0,7760,776
Experian,12,9,3,0,0,431,18,0,0,0,10,2,0,0,0,0,0,0,0,34,0,30700,812
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34,0,500,672
Equifax,13,8,5,0,0,14582,909,0,0,0,4,8,1,0,0,0,0,22,0,34,0,7760,776
Experian,12,9,3,0,0,431,18,0,0,0,10,2,0,0,0,0,0,0,0,34,0,30700,812
TransUnion,2,1,1,0,0,0,0,12,12,8,1,0,0,1,0,0,0,0,3,14,0,3000,633
Equifax,2,1,1,0,0,6169,157,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,671
Experian,22,14,8,0,0,46309,1047,1,1,0,20,2,0,0,0,0,0,0,0,14,0,56750,596
TransUnion,2,1,1,0,0,0,0,12,12,8,1,0,0,1,0,0,0,0,3,14,0,3000,633
Equifax,2,1,1,0,0,6169,157,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,671
Experian,22,14,8,0,0,46309,1047,1,1,0,20,2,0,0,0,0,0,0,0,14,0,56750,596
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,7000,775
Experian,2,2,0,0,0,45,15,0,1,0,2,0,0,0,0,0,0,0,0,10,0,2200,723
TransUnion,5,2,3,0,0,29,10,0,0,0,5,0,0,0,0,0,0,0,0,25,0,13500,720
Equifax,21,15,6,5,1,40184,1094,49,22,4,12,6,2,0,0,1,0,21,0,25,0,4470,561
Experian,22,16,6,0,0,97784,1916,15,2,1,14,4,3,0,0,0,1,1,0,25,0,13590,737
TransUnion,1,0,1,0,1,229,0,0,0,0,0,0,0,0,0,1,0,1,1,14,0,0,552
Equifax,14,7,7,0,6,213231,3506,5,1,0,4,3,2,0,1,4,0,27,0,17,0,3402,603
Experian,18,10,8,0,0,20264,607,3,0,0,12,3,0,0,3,0,0,3,0,17,0,26087,657
TransUnion,1,0,1,0,1,229,0,0,0,0,0,0,0,0,0,1,0,1,1,14,0,0,552
Equifax,14,7,7,0,6,213231,3506,5,1,0,4,3,2,0,1,4,0,27,0,17,0,3402,603
Experian,18,10,8,0,0,20264,607,3,0,0,12,3,0,0,3,0,0,3,0,17,0,26087,657
TransUnion,14,6,8,0,0,5607,150,0,0,0,11,2,0,0,0,0,1,1,0,18,0,9400,680
Equifax,24,14,10,3,2,24430,1541,63,20,14,12,10,2,0,0,0,0,22,0,18,0,0,534
Experian,13,10,3,0,0,95475,1119,0,0,0,11,0,2,0,0,0,0,0,0,18,0,16925,786
TransUnion,24,9,15,0,2,36945,473,8,4,0,18,3,1,0,0,1,1,1,1,10,0,74300,589
Equifax,1,1,0,0,0,298,10,0,0,0,1,0,0,0,0,0,0,8,0,4,0,500,666
Experian,11,5,6,0,0,25,13,1,0,0,7,4,0,0,0,0,0,0,0,10,0,15471,810
TransUnion,19,12,7,0,0,94142,1172,0,0,0,14,2,3,0,0,0,0,0,0,27,0,75300,828
Equifax,9,8,1,0,0,48043,665,2,0,0,5,3,1,0,0,0,0,5,0,27,0,4100,739
Experian,21,12,9,0,0,97712,1544,0,0,0,15,3,1,0,1,0,1,1,0,27,0,47529,812
TransUnion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,0,0,733
Equifax,17,12,5,1,1,72298,1762,6,0,1,2,13,1,1,0,0,0,32,0,21,0,1000,618
Experian,25,12,13,0,0,11850,326,0,0,0,22,3,0,0,0,0,0,1,0,21,0,39387,688
TransUnion,1,0,1,0,1,229,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,552
Equifax,44,20,24,0,0,264882,2893,1,1,1,26,11,1,2,0,0,3,33,0,11,0,70100,649
Experian,27,19,8,0,0,168690,1669,6,1,1,23,3,1,0,0,0,0,7,0,11,0,58707,633
TransUnion,16,12,4,0,0,267296,2430,0,0,0,13,0,3,0,0,0,0,2,0,34,0,66500,805
Equifax,13,7,6,1,0,16778,343,0,2,0,5,6,1,1,0,0,0,17,0,34,0,650,650
Experian,36,26,10,0,0,100250,1403,0,0,0,30,4,1,0,0,0,1,9,0,34,0,107935,681
TransUnion,4,2,2,0,2,1063,79,2,2,17,2,1,0,0,0,1,0,0,2,8,0,100,441
Equifax,15,11,4,1,1,33476,385,17,6,3,11,1,2,0,0,1,0,15,1,8,0,3825,557
Experian,14,6,8,0,0,30496,726,0,0,0,5,6,0,0,3,0,0,6,0,8,0,14300,604
TransUnion,11,7,4,0,0,256,10,0,0,0,10,0,1,0,0,0,0,1,0,19,0,44000,818
Equifax,17,3,14,0,14,51689,1158,15,9,29,3,9,0,0,0,3,2,17,1,19,0,0,514
Experian,8,3,5,0,3,7007,235,0,0,0,4,2,0,0,0,2,0,2,0,19,0,900,655
Equifax,29,24,5,0,0,217014,6341,0,0,0,11,16,2,0,0,0,0,50,0,21,0,25938,753
Experian,17,10,7,0,0,57225,1354,3,0,0,8,5,4,0,0,0,0,3,0,21,0,16600,746
TransUnion,4,4,0,0,0,221,15,0,0,0,3,1,0,0,0,0,0,0,0,29,0,10300,781
Equifax,32,20,12,0,0,310795,3191,1,0,0,11,16,5,0,0,0,0,8,0,29,0,34300,658
Experian,20,14,6,0,0,62486,2639,6,0,0,14,4,2,0,0,0,0,1,0,29,0,33631,585
